Norwegian,English
turisme -en,[the] tourism 
en/et eksem,eczema
å bemerke,"to notice, become aware of, remark"
et samvær,gathering 
en utarbeidelse,"preparation, compilation "
en opsjon,option 
uvant,unaccustomed
velvære -t,[the] well-being 
folkemusikk -en,[the] folk music
et slagord,"slogan, motto, watchword"
inntjening -a,[the] earnings 
å undres,to wonder 
oppgitt,"resigned, dejected"
assistanse -n,[the] assistance
sykepleie -a,[the] nursing 
ei avreise,departure
rørende,"touching, moving, pathetic "
å strikke,to knit 
feministisk,"feminist, feminist(ic)"
en kiosk,"kiosk, newsstand; garden pavilion"
ei krigføring,warfare 
luksus -en,[the] luxury
en vekter,"watchman, security guard "
ensomhet -a,"[the] loneliness, solitude"
å forundre,"to astonish, surprise"
svett,sweaty 
en puls,pulse 
et tårn,tower 
gjennomsiktig,transparent
ei line,"line, rope"
regelrett,"regular, according to rule "
autoritær,authoritarian
ei jordmor,midwife
å stride,to fight 
en gitarist,guitarist
kirkelig,"church, ecclesiastical; religious"
en storebror,big brother 
å deprimere,to depress
ei erklæring,"declaration, statement"
et kompetansesenter,resource centre
nedi,"(down) in, into "
oppbevaring -a,"[the] keeping, storage "
en rand,"stripe, brim, edge"
et gjøremål,"(only pl) business, duties, tasks"
en ansettelse,"appointment, employment"
en islamist,"UK: Islamist, US: Islamite "
et kupp,coup
lærerik,"informative, instructive"
ubetydelig,"slight, insignificant"
å vedlikeholde,to maintain
aggresjon -en,[the] aggression
forakt -en,"[the] contempt, disdain"
et hovedfag,major (subject)
nedtrykt,"dejected, depressed"
et filter,filter
en tommel,thumb 
id -en,"[the] [archaic] activity, effort"
å trøste,"to comfort, console "
bompenger,toll
ei forretning,"business, bargain, deal"
fortrolig,"confidential, conversant, familiar"
en galopp,gallop
svindel -en,[the] swindle
å oppsummere,to summarize
entusiastisk,enthusiastic
et avspark,kickoff
en ekspertise,"expert opinion, expertise"
nysgjerrighet -a,"[the] curiosity, inquisitiveness "
maskulin,masculine
å finnes,"to be, be found, exist, occur"
et samarbeidsprosjekt,co-operative venture/project
å besitte,"to have, hold, possess"
et jorde,"field (cultivated, usu. near nouses)"
ei vandring,"migration, travel, wandering "
en flåte,"float, raft, fleet, flotilla"
en tilgivelse,"forgiveness, pardon, apology "
et tøy,"cloth, fabric, clothes "
et fluefiske,flyfishing
misvisende,"misleading, fallacious, deceptive "
en verdensmester,world champion 
klarhet -a,"[the] brightness, clearness, transparency"
en skolestart,starting school 
å feie,"to brush, clean, sweep"
nøktern,"level-headed, down-to-earth "
en reparasjon,"repair, overhaul, reconditioning "
et nøkkelord,key word 
å snappe,"to grab, snatch, snap "
et datterselskap,subsidiary (company)
illegal,illegal
en strekk,"tension, stretch "
å tiltrekke,to attract 
et jordbær,strawberry
ei kantine,canteen
en studieplass,"student place(s), university place(s) "
en aksjekurs,"listed price, share price"
ei sending,sending
snarlig,"speedy, approaching "
sortert,sorted 
ei bukt,"bend, curve"
ei novelle,short story 
sørover,southward(s)
merking -a,"[the] labelling, marking, tagging "
en terskel,"door sill, sill, threshold "
et holt,"grove, wood"
sprø,"brittle, fragile "
å oppløse,to disband
ei eske,"boksz, carton"
en overlege,chief physician
besittelse -n,"[the] possession, dependency"
å reservere,"to book, reserve"
et borgerskap,"citizenship, nationality"
en holme,"small island, islet"
utprøving -a,"[the] testing, debugging "
å insistere,to insist
forgjeves,futile
å trosse,to defy
utenriks,foreign
doping -a,[the] doping 
ei fjær,"feather, plume, spring"
å stønne,"to moan, groan "
unnagjort,"unnaluring, shirking"
ei brikke,"counter, small tray"
beredskap -en,[the] preparedness
et svømmebasseng,swimming pool 
å signalisere,to signal 
organisatorisk,"organizing, organizational "
en dynamikk,dynamics
dus,"mellow, soft, subdued"
innblanding -en,"[the] interference, meddling"
en pistol,pistol 
et undervisningsopplegg,teaching plan 
hygiene -n,[the] hygiene
en blender,shutter
hestekraft -en,[the] horsepower
en narr,fool 
et kick,"kick, rush "
en fasilitet,facility (of a system
et kjæledyr,"pet, soft toy"
en ve,"woe, pain "
matematisk,mathematical
ei panne,"forehead, brow "
ei forhåpning,"expectation, hope"
en oppsigelse,"notice, discharge"
et tabu,taboo 
å fordømme,"to blame, condemn, denounce"
en skriver,printer
å løsne,"to become loose, loosen"
lærd,"erudite, learned"
en kommentator,commentator
militant,militant 
et nettsamfunn,social network service 
å granske,"to examine, study thoroughly"
et dataspill,computer game 
ei styrketrening,weight-training
en kontaktperson,"contact, contact person, liaison "
å lekke,to leak
et menneskeliv,human life 
et enkeltmenneske,individual 
mosjon -en,[the] exercise 
forutsigbarhet -a,[the] predictability 
en innredning,"furnishings, building"
å veksle,to change
å inneha,"to have in one's possession, own"
en dekan,dean (of a university college)
ei telling,"counting, count "
en undergang,"ruin, fall, downfall; subway"
ei fildeling,file sharing 
et helsevern,health care 
å avlegge,"to lay aside, put down"
morsmelk -a,[the] breast milk 
åpenbar,"obvious, apparent"
enhetlig,uniform
å streve,to strive
ei hustru,[lit.] wife
et scenario,scenario 
brasiliansk,Brazilian
en overkropp,upper part of the body 
ei skildring,"picture, description, portrayal "
anstendig,"decent, proper, respectable"
et grunnkurs,"basic course, elementary course "
en lysstyrke,candle power [tech.]
romersk,Roman 
førti,forty
industriell,industrial
å returnere,to return 
en stab,staff 
å,[infinitive marker] to 
ubalanse -n,"[the] imbalance, unbalance "
en aktor,counsel for prosecution
å poengtere,"to emphasize, stress "
pynt -en,"[the] decoration, finery "
et onde,"evil, nuisance, complaint, trouble "
prestisje -en,[the] prestige 
lysende,"luminous, shining, bright, (fig) brilliant "
en veterinær,veterinary 
en bag,bag
ei deling,"division, partition"
en lærling,apprentice; pupil
en toppsjef,chief executive 
misfornøyd,"displeased, dissatisfied "
spenn -et,"[the] span, tension, strain "
ei omvisning,"tour, guided tour"
en pakistaner,Pakistani 
slitasje -n,[the] abrasion; wear and tear 
et fagmiljø,specialist environment 
en nyttårsaften,New Year's Eve 
en treningskamp,practice match 
matte -a,[the] mat
å verve,"to recruit, enlist "
å hekte,"to fasten, hook"
kvikksølv -et,"[the] mercury, quicksilver"
en saga,saga 
å oppkalle,to name 
ei vinkling,"angle, position "
en høringsuttalelse,statement
ne -et,[the] wane (of the moon)
en progresjon,progression 
å utveksle,to exchange 
langrenn -et,[the] cross-country race; cross-country skiing
skattemessig,fiscal 
bakre,rear
ei tispe,bitch
fjorten,fourteen
å sjenere,"to bother, handicap, embarrass "
sjømat -en,[the] seafood 
skjønnlitteratur -en,[the] literature
tretti,thirty 
å anføre,"to command, head, lead, adduce"
ei veske,"bag, handbag, satchel "
singel -en,"[the] gravel, pebble "
å beordre,"to assign, order"
versus,versus
å sortere,to sort 
oppfyllelse -n,[the] fulfilment 
dem,them <objective case of de>
implementering -a,[the] implementation 
intensitet -en,[the] intensity
kakao -en,[the] cocoa
utøvende,"executive, creative"
et slit,"toil, drudgery"
motgang -en,[the] hardship
et fotspor,"footprint, tracks"
en appelsin,orange
olivenolje -a,[the] olive oil 
utelukket,"out of the question, impossible"
en dass,[vulgar] toilet
et gruppearbeid,teamwork 
å spytte,to spit 
et beslag,"fittings, mounting, confiscation"
å spesialisere,to specialize 
å utbryte,"to break out, burst out, exclaim "
et eksperiment,experiment
ei strandsone,(geogr) littoral zone 
utpreget,"marked, emphatic, pronounced "
variabel,variable
taushet -en,"[the] silence, taciturnity, secrecy"
en egenart,"peculiarity, oddness"
å sluke,to swallow
ei drøfting,"colloquy, mooting, discussion "
produktiv,productive 
en syklist,cyclist 
adskillig,"a good deal of, considerable,  not a little"
skyfri,cloudless
ei ytring,"utterance, statement, expression"
en mentor,mentor 
et næringsstoff,"nutrient, nutritive substance "
et skjerf,scarf 
ledighet -a,"[the] agility, freeness, ease"
et forskudd,advance
en talerstol,platform 
en kikk,"glimpse, peek; sprain"
et omdømme,"reputation; judgement; opinion, estimation "
skitt -en,"[the] dirt, filth, muck, rubbish, trash "
trav -et,[the] trot 
vantro,unbelieving
følelsesmessig,"emotional, sentimental"
ei forsoning,reconciliation
en anstrengelse,"effort, exertion, strain"
en tenåring,teenager 
opprørt,"indignant, rough, troubled "
en pote,paw
å avslå,"to repel, deny, refuse"
animasjon -en,[the] (film) animation 
et gebyr,fee
å hemme,"to hamper, hinder, restrain"
å stresse,to put under stress 
heltid -a,[the] full time 
ei katte,cat (esp. female)
juice -n,"[the] fruit-juice, juice "
å assosiere,to associate
et juletre,Christmas tree
merkbar,"discernible, perceptible, appreciable, noticeable "
ei avspilling,playing 
interaktiv,interactive 
serbisk,Serbian 
å belønne,"to reward, remunerate"
en brite,Briton
en arbeidsmåte,method of work
popularitet,popularity 
krutt -et,[the] (gun)powder
et garn,"yarn, net"
et drikkevann,drinking water 
en engel,angel
nynorsk -en,[the] New Norwegian
å aldre,"to age, grow old"
bevaring -a,"[the] keeping, preservation, conservation"
olympisk,Olympian
ei innsamling,collection
iskald,"ice-cold, icy"
kynisk,cynical
å bearbeide,"to work, work up, process, adapt"
østlig,eastern 
en sjefredaktør,editor-in-chief 
et kosttilskudd,food supplement 
et studiested,financial aid to students
en størrelsesorden,order of size 
ydmyk,humiliated; humble 
veiledende,"guiding, instructive "
en blits,"blitz, flashlight, flash"
å utstede,"to issue, draw "
hjelpeløs,helpless
en jungel,jungle
en pekepinn,"hint, pointer "
etterspurt,"in demand, popular"
juks -et,"[the] cheating, fudging; junk, trash"
et seil,sail 
ei sivilbefolkning,civilian population 
en tegneserie,"strip, comic strip"
å gjenopprette,"to reestablish, repair, retrieve"
ubevisst,"unconscious, unconsciously "
niende,ninth 
overflødig,"superfluous, redundant "
en bilist,motorist
golf -en,[the] gulf
et testamente,"last will, testament, will "
å gjenvelge,to reelect
ei kulisse,sidewing (of stage set)
en musikkvideo,music video 
en auksjon,auction
et rop,"cry, call, shout "
et forskningsmiljø,research community 
en betennelse,inflammation
et tempel,temple
karakteristisk,characteristic
taushetsplikt -a,[the] professional secrecy
konkurransedyktig,"able to compete, competitive"
et spann,"pail, bucket "
Litauen,Lithuania
en termin,"term, period, instalment "
å sensurere,"to censor, mark, grade "
å utspille,to take place 
overlevelse,survival 
en diabetiker,diabetic 
en faktura,[merc.] invoice
et folkeslag,"people, race"
ei gruppering,"grouping, group division "
et loft,ceiling; attic
et nettmøte,"hub, net hub "
mesterlig,masterly 
utholdenhet -en,"[the] perseverance, endurance "
ei tilkopling,"attachment, connection"
et førerkort,driver's license
menneskeskapt,"anthropogenic, man-made"
ukritisk,uncritical
feminin,"feminine, effeminate"
innmari,"cunning, sly; thoroughgoing"
en borgerkrig,civil war
et samhold,"concord, cohesion, solidarity"
en dannelse,development
en drivhuseffekt,greenhouse effect 
statisk,static 
en ateist,atheist
England ,England 
å implementere,to implement 
spesialundervisning -a,[the] special education 
å stusse,"to trim, crop; be astonished"
ei forsterkning,"reinforcement, strengthening"
å inntreffe,"to happen, occur"
å overlevere,"to deliver, hand over "
en konvensjon,convention
en håndverker,"artisan, craftsman"
etnisitet -en,[the] ethnicity 
en vaffel,waffle 
en energiminister,"Secretary of Energy (US), Minister for Energy (UK"
ei pine,pain; anguish
sovjet -et,[the] Soviet
en fornøyelse,"gratification, pleasure"
informatikk -en,"[the] informatics, computer science"
et mesterverk,masterpiece 
et forskningsresultat,research result 
et statsborgerskap,nationality 
ei såpe,soap 
urovekkende,"disquieting, alarming "
derpå,"thereupon, afterwards"
logistikk -en,[the] logistics 
totalitær,totalitarian 
væske -a,[the] liquid
et visum,visa 
en landsmann,"compatriot, countryman"
et oljeselskap,oil company 
å distribuere,to distribute
en hann,"he, male"
sensitiv,sensitive
å omgås,"to associate with, mix with; interact"
Riksrevisjonen ,the National Audit Office
ei bemanning,"crew, staff, hands "
å frikjenne,"to acquit, exonerate"
en høgskolelektor,assistant professor 
et utall,"countless number, myriad"
husleie -a,[the] rent
å tufte,to lay a foundation
forskjellsbehandling -a,[the] de jure/de facto discrimination 
ei suppe,soup 
et gjenvalg,reelection
en utkant,"edge, fringe, outskirts "
en naturressurs,natural resource 
proff,pro 
Sverige ,Sweden
en entreprenør,contractor
en møteplass,"meeting place, meeting point "
et fartøy,"boat, craft, vessel"
ei dosering,"bank, embankment, slope"
landsbasis -en,[the] på ~ = on a national scale (or basis)
en lesesal,reading room
en journal,"journal, logbook"
en motpart,"adversary, opponent"
et hovedkvarter,[mil.] general headquarters
mais -en,"[the] corn, maize"
en terrasse,terrace 
friidrett -en,[the] track (sports); athletics 
et selvbilde,self-image
forrang -en,[the] prededence
vag,vague 
vannkraft -a,[the] hydraulic power
å mette,"to saturate, fill, satisfy, satiate"
en gjerningsmann,"crimimal, culprit"
gedigen,"(of metals) pure, solid, sterling"
en skoledag,school day 
ridning -a,"[the] riding, equitation "
å underholde,"to entertain; maintain, support"
et fangenskap,"captivity, imprisonment"
et videokamera,video camera 
en lettelse,"relief, clearing up"
en forholdsregel,"measure, precaution"
et fosterhjem,"foster care, foster home "
en miljøvernminister,Environment Secretary 
et læringsmål,learning objective/aim 
å tilføye,to add; cause
australsk,Australian
en overdose,overdose 
fastland -et,"[the] mainland, continent"
å forkaste,"to reject, turn down"
å samsvare,"to correspond, coincide"
å trille,to roll
en tilbakegang,"decrease, fall, setback"
utenforstående,outsider
å kapre,"to capture, grab"
en penis,penis 
påkjørt,hit (by a car)
ei gulrot,carrot
å vektlegge,to emphasize
kirurgi -en,[the] surgery
et særpreg,distinctive stamp 
en dialekt,dialect
en fuglehund,"bird dog, spaniel, setter "
å vokte,"to guard, watch "
en drink,drink (of hard liquor)
ei husholdning,"housekeeping, household"
meningsfylt,meaningful 
maksimum -et,[the] maximum
slem,naughty
en pult,desk 
nitrogen -et,[the] nitrogen 
en refusjon,"refund, reimbursement"
landsdekkende,"national, nationwide"
akk,alas
forleden,"the other (day, evening, etc.)"
en motorsykkel,motor cycle 
forrykende,"furious, tremendous"
et mannfolk,"male, man"
et medmenneske,fellow (human) being
særklasse -a,[the] special class 
et forlik,"agreement, conciliation"
oppunder,up under 
en pirat,pirate
forbigående,"passing, temporary"
en skikk,"custom, usage, practice "
å utelate,"to omit, leave out, skip "
festlig,"ceremonious, festive"
å avstå,"to abstain, desist"
å blotte,"to expose, lay bare"
en seniorrådgiver,(senior) advisor 
en yngel,"fry, spawn"
en pinne,"stick, perch"
en utvei,way out
et familieliv,"domestic life, home life"
flyt -en,[the] movement
et reglement,"rules, regulations "
ei bøtte,bucket
produktivitet -en,[the] productivity 
en sivilisasjon,civilization 
en hvitløk,garlic
et innskudd,"insertion, interpolation"
rådgivende,"advisory, consultative "
en ponni,pony 
en skoleelev,pupil
en velferdsstat,welfare state 
ei gardin,"curtain, blind, drape"
en kildekode,source code 
ei kvalifisering,qualification 
å pådra,to bring on 
en knekk,"bend, bow; crack"
påfyll -et,[the] fill-up; second helping
en seriekamp,"(fotball) league match, series match"
en entusiasme,enthusiasm
å overstå,"to get over, get through "
en fjernkontroll,remote control
et varamedlem,deputy board member
et bokmerke,bookmark
især,"especially, particularly"
unektelig,undeniable
å sprenge,"to break, burst, blow up"
et løft,lift; big effort
å undervurdere,"to underrate, underestimate"
særs,special 
et øk,[gammel hest] nag 
arbeidsledig,"out of work, unemployed"
et korps,corps; band
ei bemerkning,remark
et gavekort,gift certificate
nødvendighet -a,[the] necessity
en tidsalder,"age, era "
ei hake,chin
bakerst,"farthest back, hindmost, last"
en slave,slave 
en spiseforstyrrelse,eating disorder 
overdreven,"exaggerated, excessive"
ei dobling,"doubling, double "
et entreprenørskap,entrepreneurship 
ei boble,bubble
dagslys -et,[the] daylight
et fremskritt,"advance, headway, development"
ei pulje,"group, heat "
en kulturarv,cultural heritage
å muliggjøre,"to make possible, render possible"
en fiasko,"failure, fiasco"
et kondom,condom 
et sug,suction 
en korreksjon,[astron.] correction
kunstgress -et,[the] artificial grass 
et troll,troll
å gjære,to ferment
et idol,idol 
et fjes,face
en samarbeidsavtale,agreement on co-operation 
å fremføre,"to present, put on, offer"
en giv,"deal, initiative, effort, attempt, action "
mistenkelig,suspicious 
ei flis,"chip, sliver, splinter"
ei løve,lion
en ambassadør,ambassador
å eksponere,to expose
en avdelingsdirektør,"assistant director, head of department "
tapper,brave 
å opphøre,to cease
realisme -n,[the] realism 
ei ert,pea
ei blødning,bleeding
ei styringsrente,right/freedom to manage
en brosjyre,"brochure, leaflet"
en landsdel,"part of the country, section"
tradisjonsrik,"rich in tradition, long-established "
å reklamere,"to complain, claim; advertise "
en tilførsel,"supply, feed, entry, addition"
å eksperimentere,to experiment
en skapning,"creature, creation "
brennevin -en,"[the] brandy, (hard) liquor"
en note,musical note; annotation 
opptatt,"engaged, occupied"
et driftsresultat,trading result 
en union,"union, alliance"
en skattyter,taxpayer
et hormon,hormone
et avløp,"outlet, vent"
ei enke,widow
ei ringvirkning,"ripple effect(s), spillover effect(s)"
å krasje,to crash
uunngåelig,inevitable 
en etterforsker,investigator 
et ikon,icon
en deig,"dough, doughy mass"
et bortelag,away team
ei underside,underside 
hissig,"ardent, eager"
et konsern,"concern, trust; cartel"
et samband,"communication, connection, union "
et klapp,clap; pounding; slap; patting
å fornekte,"to deny, renounce"
erotisk,erotic
et ukeblad,"weekly, weekly paper "
munter,"cheerful, merry"
å redegjøre,"to give an account, account for "
et skilt,"sign, plate"
å forverre,to worsen
et forprosjekt,"pilot study, preliminary study"
pålitelig,"responsible, reliable, dependable"
et vitamin,vitamin 
sjette,sixth 
en strupe,throat 
ei P-pille ,birth pill 
å belaste,"to charge, debit; load"
drivende,"energetic, enterprising"
å føye,"to give in to (sby), humor"
å myrde,"to murder, butcher"
sladder -en,[the] gossip
en term,term 
et helsefag,health education subjects 
en konvolutt,envelope
en seremoni,ceremony 
en koffert,"bag, suitcase, trunk"
en byråkrat,bureaucrat
en iver,"ardor, zeal, eagerness"
et mottak,counterattack; acceptance
å ose,"to burn black, reek"
et folkebibliotek,public library 
legitim,"lawful, legitimate"
lokalisering -a,[the] localization 
en valuta,"foreign exchange, foreign currency "
en demonstrant,demonstrator
et spillerom,"margin, latitude "
en gruppeleder,group leader 
eldreomsorg -a,"[the] provision for old age, care of the elderly "
et vederlag,"compensation, remuneration "
et årsregnskap,"annual accounts, financial statements "
en urett,"wrong, injustice "
bitterhet -a,[the] bitterness
en rullestol,wheelchair 
en naturvitenskap,[natural] science 
en dirigent,conductor (music)
ei ombygging,"rebuilding, reconstruction "
et boliglån,housing lean
et cover,cover 
sørvest,southwest
nitten,nineteen 
en svigersønn,son-in-law 
seksten,sixteen 
en svigerfar,father-in-law 
et oldebarn,great-grandchild 
ei niese,niece 
sytten,seventeen 
ei storesøster,big sister
seksti,sixty 
et søskenbarn,"cousin; nephew, niece "
ei lillesøster,little sister
åtti,eighty 
nitti,ninety 
ei svigermor,mother-in-law 
sytti,seventy 
en nevø,nephew 
en fetter,(male) cousin
sørøst,southeast
en oldefar,great-grandfather 
nordvest,north-west 
nordøst,north-east 
en svoger,brother-in-law 
en morfar,maternal grandfather 
ei mormor,maternal grandmother 
ei svigerinne,sister-in-law 
ei kusine,female cousin
en tippoldefar,great-great-grandfather 
en lillebror,little brother
ei grandtante,great-aunt
en farfar,paternal grandfather
tretten,thirteen 
ei tippoldemor,great-great-grandmother 
ei farmor,paternal grandmother
en grandonkel,great-uncle
ei oldemor,great-grandmother 
